,Unnamed: 0,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,TEAM_ABBREVIATION,WL,PTDIFF
1312,10,2018-01-17T00:00:00,6,0021700658,1610612752,New York,20-25,31.0,22.0,20.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.42700000000000005,0.9570000000000001,0.259,22.0,45.0,14.0,240:00,0.47,0.28,0.149,0.293,0.505,0.187,0.126,0.313,NYK,l,-6.0
1313,11,2018-01-17T00:00:00,6,0021700658,1610612763,Memphis,15-28,32.0,29.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.451,0.765,0.35700000000000004,23.0,44.0,11.0,240:00,0.505,0.187,0.126,0.313,0.47,0.28,0.149,0.293,MEM,w,6.0
1420,4,2018-01-25T00:00:00,3,0021700712,1610612752,New York,21-28,28.0,32.0,32.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.5489999999999999,0.833,0.381,32.0,33.0,10.0,240:00,0.598,0.293,0.1,0.091,0.688,0.3,0.128,0.063,NYK,l,-12.0
1421,5,2018-01-25T00:00:00,3,0021700712,1610612743,Denver,25-23,39.0,34.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.6,0.833,0.5,36.0,32.0,13.0,240:00,0.688,0.3,0.128,0.063,0.598,0.293,0.1,0.091,DEN,w,12.0
1422,6,2018-01-25T00:00:00,4,0021700713,1610612750,Minnesota,31-20,29.0,33.0,31.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.455,0.833,0.3,25.0,43.0,10.0,240:00,0.485,0.178,0.094,0.265,0.657,0.169,0.159,0.268,MIN,l,-13.0
1423,7,2018-01-25T00:00:00,4,0021700713,1610612744,Golden State,39-10,38.0,36.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.539,0.6,0.568,37.0,47.0,15.0,240:00,0.657,0.169,0.159,0.268,0.485,0.178,0.094,0.265,GSW,w,13.0
2452,18,2018-04-11T00:00:00,10,0021701228,1610612747,Los Angeles,35-47,39.0,25.0,28.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.47700000000000004,0.875,0.436,25.0,49.0,17.0,240:00,0.574,0.182,0.167,0.233,0.53,0.337,0.163,0.17,LAL,w,15.0
2453,19,2018-04-11T00:00:00,10,0021701228,1610612746,LA,42-40,32.0,21.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.494,0.429,0.33299999999999996,27.0,41.0,17.0,240:00,0.53,0.337,0.163,0.17,0.574,0.182,0.167,0.233,LAC,l,-15.0
1680,4,2018-02-12T00:00:00,3,0021700843,1610612746,LA,29-26,34.0,32.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.565,0.857,0.375,19.0,43.0,15.0,240:00,0.6,0.165,0.153,0.229,0.528,0.112,0.135,0.222,LAC,w,13.0
1681,5,2018-02-12T00:00:00,3,0021700843,1610612751,Brooklyn,19-39,22.0,29.0,16.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.461,0.7,0.3,27.0,37.0,12.0,240:00,0.528,0.112,0.135,0.222,0.6,0.165,0.153,0.229,BKN,l,-13.0
2108,14,2018-03-19T00:00:00,8,0021701057,1610612765,Detroit,31-39,25.0,19.0,29.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.46799999999999997,0.818,0.483,17.0,44.0,9.0,240:00,0.557,0.278,0.108,0.162,0.489,0.102,0.134,0.174,DET,w,16.0
2109,15,2018-03-19T00:00:00,8,0021701057,1610612758,Sacramento,23-49,21.0,23.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.455,0.444,0.261,23.0,39.0,13.0,240:00,0.489,0.102,0.134,0.174,0.557,0.278,0.108,0.162,SAC,l,-16.0
1432,8,2018-01-26T00:00:00,5,0021700718,1610612746,LA,24-24,24.0,34.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.488,0.7240000000000001,0.37,23.0,36.0,10.0,240:00,0.55,0.363,0.1,0.079,0.531,0.222,0.198,0.195,LAC,w,9.0
1433,9,2018-01-26T00:00:00,5,0021700718,1610612763,Memphis,17-31,20.0,30.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.48100000000000004,0.778,0.29600000000000004,31.0,43.0,19.0,240:00,0.531,0.222,0.198,0.195,0.55,0.363,0.1,0.079,MEM,l,-9.0
1910,2,2018-03-06T00:00:00,2,0021700958,1610612737,Atlanta,20-45,28.0,23.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.425,0.762,0.28600000000000003,22.0,44.0,21.0,240:00,0.463,0.263,0.222,0.3,0.443,0.375,0.123,0.347,ATL,l,-16.0
1911,3,2018-03-06T00:00:00,2,0021700958,1610612761,Toronto,46-17,27.0,23.0,26.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.386,0.848,0.278,25.0,45.0,12.0,240:00,0.443,0.375,0.123,0.347,0.463,0.263,0.222,0.3,TOR,w,16.0
1434,10,2018-01-26T00:00:00,6,0021700719,1610612751,Brooklyn,18-31,15.0,20.0,37.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.371,0.85,0.235,18.0,45.0,14.0,240:00,0.416,0.225,0.139,0.212,0.59,0.241,0.101,0.081,BKN,l,-25.0
1435,11,2018-01-26T00:00:00,6,0021700719,1610612749,Milwaukee,25-22,33.0,25.0,23.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.518,0.9,0.522,28.0,44.0,9.0,240:00,0.59,0.241,0.101,0.081,0.416,0.225,0.139,0.212,MIL,w,25.0
1912,4,2018-03-06T00:00:00,3,0021700959,1610612748,Miami,34-31,26.0,24.0,30.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.447,0.741,0.273,26.0,41.0,14.0,265:00,0.495,0.287,0.139,0.283,0.588,0.338,0.185,0.222,MIA,l,-4.0
1913,5,2018-03-06T00:00:00,3,0021700959,1610612764,Washington,37-28,31.0,28.0,27.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.5,0.852,0.583,25.0,41.0,18.0,265:00,0.588,0.338,0.185,0.222,0.495,0.287,0.139,0.283,WAS,w,4.0
1302,0,2018-01-17T00:00:00,1,0021700653,1610612764,Washington,25-20,36.0,25.0,18.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.488,0.696,0.565,31.0,40.0,16.0,240:00,0.567,0.28,0.158,0.163,0.566,0.265,0.094,0.283,WAS,l,-24.0
1303,1,2018-01-17T00:00:00,1,0021700653,1610612766,Charlotte,18-25,38.0,39.0,25.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.49,0.846,0.484,27.0,49.0,9.0,240:00,0.566,0.265,0.094,0.283,0.567,0.28,0.158,0.163,CHA,w,24.0
1994,16,2018-03-11T00:00:00,9,0021701000,1610612739,Cleveland,38-28,29.0,31.0,22.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.466,0.826,0.387,22.0,37.0,12.0,240:00,0.534,0.261,0.116,0.159,0.568,0.208,0.125,0.318,CLE,l,-14.0
1995,17,2018-03-11T00:00:00,9,0021701000,1610612747,Los Angeles,30-36,33.0,32.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.5,0.9,0.382,30.0,51.0,13.0,240:00,0.568,0.208,0.125,0.318,0.534,0.261,0.116,0.159,LAL,w,14.0
22,20,2017-10-18T00:00:00,11,0021700013,1610612745,Houston,2-0,26.0,26.0,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.39799999999999996,0.9309999999999999,0.267,19.0,44.0,14.0,240:00,0.47,0.349,0.128,0.0,0.523,0.114,0.155,0.0,HOU,w,5.0
23,21,2017-10-18T00:00:00,11,0021700013,1610612758,Sacramento,0-1,25.0,23.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.47700000000000004,0.8,0.348,19.0,42.0,17.0,240:00,0.523,0.114,0.155,0.0,0.47,0.349,0.128,0.0,SAC,l,-5.0
20,18,2017-10-18T00:00:00,10,0021700012,1610612757,Portland,1-0,29.0,31.0,38.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.489,0.7859999999999999,0.583,22.0,57.0,16.0,240:00,0.567,0.311,0.135,0.0,0.354,0.202,0.142,0.0,POR,w,48.0
21,19,2017-10-18T00:00:00,10,0021700012,1610612756,Phoenix,0-1,21.0,14.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.315,0.722,0.259,10.0,33.0,16.0,240:00,0.354,0.202,0.142,0.0,0.567,0.311,0.135,0.0,PHX,l,-48.0
18,16,2017-10-18T00:00:00,9,0021700011,1610612750,Minnesota,0-1,25.0,24.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.435,0.7390000000000001,0.42100000000000004,23.0,42.0,13.0,240:00,0.482,0.271,0.134,0.224,0.506,0.213,0.114,0.279,MIN,l,-8.0
19,17,2017-10-18T00:00:00,9,0021700011,1610612759,San Antonio,1-0,32.0,21.0,34.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.461,0.895,0.381,22.0,50.0,11.0,240:00,0.506,0.213,0.114,0.279,0.482,0.271,0.134,0.224,SAS,w,8.0
16,14,2017-10-18T00:00:00,8,0021700010,1610612743,Denver,0-1,30.0,28.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.46799999999999997,0.917,0.48100000000000004,21.0,38.0,20.0,240:00,0.552,0.156,0.218,0.189,0.562,0.198,0.155,0.162,DEN,l,-10.0
17,15,2017-10-18T00:00:00,8,0021700010,1610612762,Utah,1-0,21.0,28.0,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.506,0.938,0.375,28.0,36.0,15.0,240:00,0.562,0.198,0.155,0.162,0.552,0.156,0.218,0.189,UTA,w,10.0
30,0,2017-10-20T00:00:00,1,0021700017,1610612737,Atlanta,1-1,28.0,28.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.379,0.857,0.233,19.0,38.0,13.0,240:00,0.416,0.147,0.114,0.0,0.494,0.349,0.175,0.0,ATL,l,-18.0
31,1,2017-10-20T00:00:00,1,0021700017,1610612766,Charlotte,1-1,18.0,31.0,35.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.43,0.8,0.306,17.0,57.0,21.0,240:00,0.494,0.349,0.175,0.0,0.416,0.147,0.114,0.0,CHA,w,18.0
28,4,2017-10-19T00:00:00,3,0021700016,1610612746,LA,1-0,27.0,26.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.39299999999999996,0.9229999999999999,0.364,23.0,59.0,14.0,240:00,0.449,0.121,0.11,0.0,0.429,0.253,0.158,0.0,LAC,w,16.0
29,5,2017-10-19T00:00:00,3,0021700016,1610612747,Los Angeles,0-1,19.0,23.0,21.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.40700000000000003,0.609,0.25,21.0,52.0,19.0,240:00,0.429,0.253,0.158,0.0,0.449,0.121,0.11,0.0,LAL,l,-16.0
26,2,2017-10-19T00:00:00,2,0021700015,1610612752,New York,0-1,24.0,18.0,17.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.405,0.684,0.292,19.0,41.0,25.0,240:00,0.449,0.241,0.222,0.0,0.494,0.244,0.153,0.0,NYK,l,-21.0
27,3,2017-10-19T00:00:00,2,0021700015,1610612760,Oklahoma City,1-0,27.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.433,0.727,0.289,26.0,41.0,18.0,240:00,0.494,0.244,0.153,0.0,0.449,0.241,0.222,0.0,OKC,w,21.0
24,0,2017-10-19T00:00:00,1,0021700014,1610612741,Chicago,0-1,23.0,14.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.41600000000000004,0.889,0.313,22.0,39.0,19.0,240:00,0.472,0.202,0.164,0.0,0.548,0.337,0.151,0.0,CHI,l,-17.0
25,1,2017-10-19T00:00:00,1,0021700014,1610612761,Toronto,1-0,25.0,33.0,26.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.47,0.929,0.44799999999999995,26.0,49.0,17.0,240:00,0.548,0.337,0.151,0.0,0.472,0.202,0.164,0.0,TOR,w,17.0
300,6,2017-11-07T00:00:00,4,0021700152,1610612766,Charlotte,5-6,41.0,28.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.462,0.8240000000000001,0.405,24.0,40.0,13.0,240:00,0.544,0.187,0.138,0.37,0.68,0.28,0.17,0.207,CHA,l,-5.0
301,7,2017-11-07T00:00:00,4,0021700152,1610612752,New York,6-4,32.0,26.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.6,0.762,0.48,29.0,35.0,16.0,240:00,0.68,0.28,0.17,0.207,0.544,0.187,0.138,0.37,NYK,w,5.0
302,8,2017-11-07T00:00:00,5,0021700153,1610612741,Chicago,2-7,26.0,19.0,36.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.5,0.821,0.379,26.0,37.0,13.0,240:00,0.569,0.35,0.151,0.211,0.623,0.296,0.159,0.194,CHI,l,-5.0
303,9,2017-11-07T00:00:00,5,0021700153,1610612761,Toronto,6-4,29.0,36.0,33.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.5429999999999999,0.75,0.52,22.0,37.0,15.0,240:00,0.623,0.296,0.159,0.194,0.569,0.35,0.151,0.211,TOR,w,5.0
34,4,2017-10-20T00:00:00,3,0021700019,1610612738,Boston,1-2,24.0,22.0,23.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.41700000000000004,0.688,0.345,16.0,55.0,19.0,240:00,0.476,0.381,0.184,0.298,0.435,0.174,0.167,0.255,BOS,w,10.0
35,5,2017-10-20T00:00:00,3,0021700019,1610612755,Philadelphia,0-2,21.0,29.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.38,0.75,0.313,20.0,47.0,16.0,240:00,0.435,0.174,0.167,0.255,0.476,0.381,0.184,0.298,PHI,l,-10.0
32,2,2017-10-20T00:00:00,2,0021700018,1610612757,Portland,2-0,31.0,31.0,29.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.484,0.765,0.474,19.0,51.0,9.0,240:00,0.532,0.179,0.081,0.0,0.474,0.423,0.115,0.0,POR,w,18.0
33,3,2017-10-20T00:00:00,2,0021700018,1610612754,Indiana,1-1,25.0,27.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.449,0.667,0.222,15.0,39.0,12.0,240:00,0.474,0.423,0.115,0.0,0.532,0.179,0.081,0.0,IND,l,-18.0
308,14,2017-11-07T00:00:00,8,0021700156,1610612755,Philadelphia,6-4,32.0,14.0,34.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.42,0.8,0.444,23.0,56.0,22.0,240:00,0.494,0.37,0.203,0.205,0.348,0.354,0.107,0.226,PHI,w,7.0
