,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,TEAM_ABBREVIATION,WL,PTDIFF
1498,2018-01-30T00:00:00,7,0021700750,1610612743,Denver,26-25,30.0,25.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.465,1.0,0.435,22.0,38.0,13.0,240:00,0.523,0.163,0.146,0.25,0.5489999999999999,0.054000000000000006,0.165,0.317,DEN,l,-2.0
1499,2018-01-30T00:00:00,7,0021700750,1610612759,San Antonio,34-19,30.0,30.0,20.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.5,1.0,0.375,33.0,43.0,16.0,240:00,0.5489999999999999,0.054000000000000006,0.165,0.317,0.523,0.163,0.146,0.25,SAS,w,2.0
2314,2018-04-03T00:00:00,3,0021701158,1610612737,Atlanta,22-56,25.0,31.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.42,0.733,0.39399999999999996,24.0,49.0,15.0,240:00,0.494,0.17,0.179,0.255,0.495,0.14300000000000002,0.14,0.22899999999999998,ATL,l,-3.0
2315,2018-04-03T00:00:00,3,0021701158,1610612748,Miami,42-36,30.0,22.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.451,0.846,0.242,22.0,46.0,14.0,240:00,0.495,0.14300000000000002,0.14,0.22899999999999998,0.494,0.17,0.179,0.255,MIA,w,3.0
1718,2018-02-14T00:00:00,9,0021700861,1610612760,Oklahoma City,33-26,34.0,39.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.494,0.6859999999999999,0.45899999999999996,26.0,38.0,9.0,240:00,0.599,0.43200000000000005,0.092,0.18600000000000003,0.593,0.174,0.122,0.16699999999999998,OKC,w,7.0
1719,2018-02-14T00:00:00,9,0021700861,1610612763,Memphis,18-38,33.0,20.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.512,0.8,0.519,29.0,41.0,12.0,240:00,0.593,0.174,0.122,0.16699999999999998,0.599,0.43200000000000005,0.092,0.18600000000000003,MEM,l,-7.0
2308,2018-04-01T00:00:00,13,0021701155,1610612758,Sacramento,25-53,19.0,24.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.38,0.5,0.292,17.0,47.0,10.0,240:00,0.418,0.152,0.105,0.26,0.447,0.33299999999999996,0.165,0.22699999999999998,SAC,w,1.0
2309,2018-04-01T00:00:00,13,0021701155,1610612747,Los Angeles,33-43,22.0,21.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.4,0.64,0.21899999999999997,18.0,47.0,14.0,240:00,0.447,0.33299999999999996,0.165,0.22699999999999998,0.418,0.152,0.105,0.26,LAL,l,-1.0
2306,2018-04-01T00:00:00,12,0021701154,1610612763,Memphis,21-56,24.0,27.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.455,0.75,0.429,20.0,42.0,17.0,240:00,0.506,0.136,0.168,0.205,0.536,0.298,0.139,0.195,MEM,l,-15.0
2307,2018-04-01T00:00:00,12,0021701154,1610612757,Portland,48-29,32.0,23.0,43.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.46399999999999997,0.92,0.316,28.0,43.0,13.0,240:00,0.536,0.298,0.139,0.195,0.506,0.136,0.168,0.205,POR,w,15.0
